City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hoi an,15.8794,108.335,94.96,59.0,100,12.21,VN,1628046480
ubinskoye,55.3068,79.6802,61.97,79.0,96,4.43,RU,1628046480
paamiut,61.994,-49.6678,45.23,95.0,100,5.17,GL,1628046481
norman wells,65.282,-126.8329,55.27,76.0,100,2.33,CA,1628046481
punta arenas,-53.15,-70.9167,42.12,75.0,90,9.22,CL,1628046482
kapaa,22.0752,-159.319,84.18,77.0,75,5.01,US,1628046482
hokitika,-42.7167,170.9667,50.76,64.0,84,6.55,NZ,1628046482
honiara,-9.4333,159.95,81.27,81.0,58,5.14,SB,1628046483
albany,42.6001,-73.9662,63.55,85.0,100,2.62,US,1628046257
boca do acre,-8.7522,-67.3978,71.1,50.0,0,1.7,BR,1628046483
rikitea,-23.1203,-134.9692,70.16,62.0,64,14.14,PF,1628046361
walvis bay,-22.9575,14.5053,60.1,88.0,0,6.53,NA,1628046484
ushuaia,-54.8,-68.3,40.66,70.0,75,5.75,AR,1628046355
sola,-13.8833,167.55,77.52,72.0,59,16.67,VU,1628046485
tezu,27.9167,96.1667,90.14,59.0,41,3.18,IN,1628046485
dikson,73.5069,80.5464,45.54,87.0,100,9.57,RU,1628046281
vaini,-21.2,-175.2,73.56,78.0,40,12.66,TO,1628046486
hermanus,-34.4187,19.2345,50.9,88.0,34,5.3,ZA,1628046269
mar del plata,-38.0023,-57.5575,54.12,53.0,75,1.99,AR,1628046253
north bend,43.4065,-124.2243,62.92,94.0,75,16.11,US,1628046190
yellowknife,62.456,-114.3525,62.56,42.0,98,3,CA,1628046486
victoria,22.2855,114.1577,90.97,77.0,80,1.99,HK,1628046484
corinth,37.9407,22.9573,90.68,32.0,0,3.42,GR,1628046487
nikolo-pavlovskoye,57.7831,60.0578,69.24,86.0,57,2.93,RU,1628046487
saint-francois,46.4154,3.9054,57.67,99.0,90,1.14,FR,1628046488
yumen,40.2833,97.2,82.17,11.0,67,15.28,CN,1628046488
torbay,47.6666,-52.7314,61.68,85.0,67,5.01,CA,1628046199
new norfolk,-42.7826,147.0587,56.7,57.0,79,4,AU,1628046489
pisco,-13.7,-76.2167,62.65,82.0,90,3.44,PE,1628046304
muncar,-8.4333,114.3333,80.24,82.0,45,8.77,ID,1628046490
tuktoyaktuk,69.4541,-133.0374,46.76,68.0,10,11.92,CA,1628046422
alice springs,-23.7,133.8833,60.35,33.0,0,14.97,AU,1628046490
qaanaaq,77.484,-69.3632,42.4,95.0,100,1.79,GL,1628046359
